# code-city coverage baseline, measured at 3611a08fec455ef6027bc58151caf6d40aad210e
file	cov_covered	cov_total	crap_max	crap_max_method	crap_load	crappy_methods	methods	acc_covered	acc_total
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorExtractor.java	32	33	10.0	extract	18.0	0	3	0	33
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorFieldExtractor.java	30	30	8.0	extract	16.0	0	3	0	30
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	93	94	7.0	callVetAmbulance	38.0	0	20	5	86
petclinic-backend/src/main/java/victor/training/petclinic/rest/UserRestController.java	16	16	6.0	addUser	7.0	0	2	4	16
petclinic-backend/src/main/java/victor/training/petclinic/domain/User.java	13	19	6.0	addRole	15.0	0	10	0	19
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpSecurity.java	38	40	5.0	doFilterInternal	14.1	0	9	13	38
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java	34	34	4.0	toVisitDto	11.0	0	6	24	34
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	64	65	3.0	toVisits	22.0	0	11	23	65
petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java	23	23	3.0	toSpecialtyDtos	9.0	0	5	1	23
petclinic-backend/src/main/java/victor/training/petclinic/mapper/UserMapper.java	31	31	3.0	toRoles	11.0	0	7	1	31
petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java	25	25	3.0	toOwnerDtoCollection	6.0	0	4	17	25
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java	26	26	3.0	toVetDtos	7.0	0	5	3	26
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetTypeMapper.java	17	17	3.0	toPetTypeDtos	7.0	0	5	1	17
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	30	33	2.0	updateVet	10.0	0	7	6	33
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeedController.java	8	8	2.0	feed	3.0	0	2	3	8
petclinic-backend/src/main/java/victor/training/petclinic/rest/RootRestController.java	1	3	2.0	redirectToSwagger	3.0	0	2	1	3
petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java	17	19	2.0	addSpecialty	13.0	0	12	2	19
petclinic-backend/src/main/java/victor/training/petclinic/domain/Role.java	7	10	2.0	getId	9.0	0	7	1	10
petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java	30	42	2.0	getAddressAndCity	23.0	0	20	11	41
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpTomcatCustomizer.java	17	18	1.0	lambda$1	5.0	0	5	15	16
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ExceptionControllerAdvice.java	28	28	1.0	static initializer	7.0	0	7	2	28
petclinic-backend/src/main/java/victor/training/petclinic/PetClinicApplication.java	6	6	1.0	constructor	4.0	0	4	6	6
petclinic-backend/src/main/java/victor/training/petclinic/security/Roles.java	4	4	1.0	constructor	1.0	0	1	4	4
petclinic-backend/src/main/java/victor/training/petclinic/security/DisableSecurityConfig.java	7	7	1.0	constructor	3.0	0	3	6	6
petclinic-backend/src/main/java/victor/training/petclinic/security/CorsConfig.java	8	8	1.0	constructor	2.0	0	2	8	8
petclinic-backend/src/main/java/victor/training/petclinic/security/BasicAuthenticationConfig.java	17	17	1.0	constructor	5.0	0	5	0	16
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetRestController.java	15	15	1.0	constructor	5.0	0	5	5	15
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	21	21	1.0	constructor	6.0	0	6	4	21
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	25	25	1.0	constructor	6.0	0	6	5	25
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	23	23	1.0	constructor	7.0	0	7	6	23
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java	10	10	1.0	constructor	6.0	0	6	3	10
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	58	58	1.0	constructor	12.0	0	12	23	58
petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java	10	10	1.0	constructor	7.0	0	7	1	10
petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java	7	7	1.0	constructor	5.0	0	5	3	7
petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java	26	26	1.0	constructor	15.0	0	15	12	26
petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java	17	17	1.0	constructor	11.0	0	11	12	17
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java	10	10	1.0	constructor	7.0	0	7	0	10
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/RoleDto.java	4	4	1.0	constructor	3.0	0	3	0	4
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitDto.java	25	25	1.0	constructor	17.0	0	17	25	25
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/UserDto.java	14	14	1.0	constructor	9.0	0	9	0	14
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeFieldsDto.java	4	4	1.0	constructor	3.0	0	3	0	4
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetFieldsDto.java	10	10	1.0	constructor	7.0	0	7	0	10
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeDto.java	7	7	1.0	constructor	5.0	0	5	7	7
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetFieldsDto.java	11	11	1.0	constructor	7.0	0	7	0	11
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java	20	20	1.0	constructor	13.0	0	13	20	20
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerFieldsDto.java	16	16	1.0	constructor	11.0	0	11	16	16
