path	bytes	lines	commits	bug_commits	commits_per_kloc	bugs_per_kloc	bugs_per_commit	cognitive_complexity	complexity_per_kloc	fan_in	fan_out	committers
petclinic-backend/src/main/java/victor/training/petclinic/security/CorsConfig.java	980	21	2	1	95.24	47.62	0.500	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java	1795	46	4	1	86.96	21.74	0.250	0	0.00	2	2	1
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	10490	220	9	0	40.91	0.00	0.000	17	77.27	0	7	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java	636	25	7	0	280.00	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	7573	159	7	0	44.03	0.00	0.000	0	0.00	0	16	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	3388	73	6	0	82.19	0.00	0.000	0	0.00	1	6	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java	1803	56	6	0	107.14	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java	780	23	5	0	217.39	0.00	0.000	0	0.00	4	0	1
petclinic-database/src/main/java/ro/victorrentea/petclinic/db/PostgresLauncher.java	3100	79	5	0	63.29	0.00	0.000	5	63.29	0	1	1
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpSecurity.java	4895	108	4	0	37.04	0.00	0.000	6	55.56	1	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	3468	82	4	0	48.78	0.00	0.000	0	0.00	0	6	1
petclinic-backend/src/main/java/victor/training/petclinic/PetClinicApplication.java	1060	30	3	0	100.00	0.00	0.000	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	3662	92	3	0	32.61	0.00	0.000	2	21.74	0	8	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	3542	81	3	0	37.04	0.00	0.000	1	12.35	0	6	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetRestController.java	2255	60	3	0	50.00	0.00	0.000	0	0.00	0	5	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerFieldsDto.java	1041	36	3	0	83.33	0.00	0.000	0	0.00	2	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ExceptionControllerAdvice.java	4195	85	3	0	35.29	0.00	0.000	0	0.00	0	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/ChatbotApp.java	1400	33	2	0	60.61	0.00	0.000	0	0.00	0	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java	1559	48	2	0	41.67	0.00	0.000	0	0.00	5	2	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetRepository.java	604	25	2	0	80.00	0.00	0.000	0	0.00	3	2	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetTypeRepository.java	422	19	2	0	105.26	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/VisitRepository.java	613	24	2	0	83.33	0.00	0.000	0	0.00	3	1	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/UserRepository.java	246	8	2	0	250.00	0.00	0.000	0	0.00	1	1	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/SpecialtyRepository.java	529	22	2	0	90.91	0.00	0.000	0	0.00	3	1	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/VetRepository.java	590	21	2	0	95.24	0.00	0.000	0	0.00	1	1	1
petclinic-backend/src/main/java/victor/training/petclinic/security/BasicAuthenticationConfig.java	2256	56	2	0	35.71	0.00	0.000	0	0.00	0	0	2
petclinic-backend/src/main/java/victor/training/petclinic/security/DisableSecurityConfig.java	1124	29	2	0	68.97	0.00	0.000	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java	566	21	2	0	95.24	0.00	0.000	0	0.00	1	4	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java	522	19	2	0	105.26	0.00	0.000	0	0.00	3	2	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	1127	37	2	0	54.05	0.00	0.000	0	0.00	4	6	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetTypeMapper.java	628	21	2	0	95.24	0.00	0.000	0	0.00	1	3	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/UserMapper.java	308	14	2	0	142.86	0.00	0.000	0	0.00	1	2	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java	620	22	2	0	90.91	0.00	0.000	0	0.00	1	4	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java	1098	31	2	0	64.52	0.00	0.000	0	0.00	3	4	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/RootRestController.java	643	22	2	0	90.91	0.00	0.000	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/UserRestController.java	1769	49	2	0	40.82	0.00	0.000	7	142.86	0	5	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java	3329	70	2	0	28.57	0.00	0.000	0	0.00	6	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeDto.java	450	19	2	0	105.26	0.00	0.000	0	0.00	5	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitFieldsDto.java	698	23	2	0	86.96	0.00	0.000	0	0.00	3	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeFieldsDto.java	333	12	2	0	166.67	0.00	0.000	0	0.00	2	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitDto.java	1621	44	2	0	45.45	0.00	0.000	0	0.00	3	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/UserDto.java	876	31	2	0	64.52	0.00	0.000	0	0.00	2	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/JudgeGuard.java	6168	124	1	0	8.06	0.00	0.000	3	24.19	1	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/SecurityConfig.java	3921	75	1	0	13.33	0.00	0.000	1	13.33	1	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java	2411	62	1	0	16.13	0.00	0.000	8	129.03	3	2	1
