file	class_fqn	class_complexity	method_count
petclinic-backend/src/main/java/victor/training/petclinic/PetClinicApplication.java	victor.training.petclinic.PetClinicApplication	0	3
petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java	victor.training.petclinic.domain.Owner	1	6
petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java	victor.training.petclinic.domain.Pet	0	2
petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java	victor.training.petclinic.domain.PetType	0	0
petclinic-backend/src/main/java/victor/training/petclinic/domain/Role.java	victor.training.petclinic.domain.Role	0	0
petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java	victor.training.petclinic.domain.Specialty	0	0
petclinic-backend/src/main/java/victor/training/petclinic/domain/User.java	victor.training.petclinic.domain.User	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java	victor.training.petclinic.domain.Vet	0	3
petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java	victor.training.petclinic.domain.Visit	0	0
petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java	victor.training.petclinic.mapper.OwnerMapper	0	3
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	victor.training.petclinic.mapper.PetMapper	0	8
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetTypeMapper.java	victor.training.petclinic.mapper.PetTypeMapper	0	4
petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java	victor.training.petclinic.mapper.SpecialtyMapper	0	4
petclinic-backend/src/main/java/victor/training/petclinic/mapper/UserMapper.java	victor.training.petclinic.mapper.UserMapper	0	2
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java	victor.training.petclinic.mapper.VetMapper	0	4
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java	victor.training.petclinic.mapper.VisitMapper	0	4
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpSecurity.java	victor.training.petclinic.mcp.McpSecurity	0	2
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpSecurity.java	victor.training.petclinic.mcp.McpSecurity$McpAuthFilter	6	4
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpTomcatCustomizer.java	victor.training.petclinic.mcp.McpTomcatCustomizer	3	2
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	victor.training.petclinic.mcp.PetClinicMcp	17	8
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	victor.training.petclinic.mcp.PetClinicMcp$VisitView	0	0
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	victor.training.petclinic.mcp.PetClinicMcp$AmbulanceAddressInput	0	0
petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java	victor.training.petclinic.repository.OwnerRepository	0	6
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetRepository.java	victor.training.petclinic.repository.PetRepository	0	6
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetTypeRepository.java	victor.training.petclinic.repository.PetTypeRepository	0	4
petclinic-backend/src/main/java/victor/training/petclinic/repository/SpecialtyRepository.java	victor.training.petclinic.repository.SpecialtyRepository	0	5
petclinic-backend/src/main/java/victor/training/petclinic/repository/UserRepository.java	victor.training.petclinic.repository.UserRepository	0	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/VetRepository.java	victor.training.petclinic.repository.VetRepository	0	4
petclinic-backend/src/main/java/victor/training/petclinic/repository/VisitRepository.java	victor.training.petclinic.repository.VisitRepository	0	6
petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java	victor.training.petclinic.rest.ApiExamples	0	1
